timestamp,x_mm,y_mm,yaw_deg,modo,fsm,coverage_pct,dirt_ratio,rear_dirt,cam_aux_pwm,slip,slip_ema,speed_scale,adaptive_paso
2026-04-16T15:45:07,2500.0,2500.0,0.0,MANUAL,IDLE,0.0,0.996,0.0,0,0,0.0,1.0,440.0
2026-04-16T15:45:08,2500.0,2500.0,0.0,MANUAL,IDLE,0.0,0.996,0.0,0,0,0.0,1.0,440.0
2026-04-16T15:45:09,2500.0,2500.0,0.0,MANUAL,IDLE,0.0,0.996,0.0,0,0,0.0,1.0,440.0
2026-04-16T15:45:10,2500.0,2500.0,0.0,MANUAL,IDLE,0.0,0.996,0.0,0,0,0.0,1.0,440.0
2026-04-16T15:45:11,2500.0,2500.0,0.0,MANUAL,IDLE,0.0,0.996,0.0,0,0,0.0,1.0,440.0
2026-04-16T15:45:12,2500.0,2500.0,0.0,MANUAL,IDLE,0.0,0.996,0.0,0,0,0.0,1.0,440.0
2026-04-16T15:45:13,2500.0,2500.0,0.0,MANUAL,IDLE,0.0,0.996,0.0,0,0,0.0,1.0,440.0
2026-04-16T15:45:14,2500.0,2500.0,0.0,MANUAL,IDLE,0.0,0.996,0.0,0,0,0.0,1.0,440.0
2026-04-16T15:45:15,2500.0,2500.0,0.0,MANUAL,IDLE,0.0,0.996,0.0,0,0,0.0,1.0,440.0
2026-04-16T15:45:16,2500.0,2500.0,0.0,MANUAL,IDLE,0.0,0.996,0.0,0,0,0.0,1.0,440.0
